sales,date,region
"$1,638.00 ",2018-02-06,north
"$1,647.00 ",2018-02-06,south
"$1,731.00 ",2018-02-06,east
"$1,557.00 ",2018-02-06,west
"$1,587.00 ",2018-02-07,north
"$1,698.00 ",2018-02-07,south
"$1,542.00 ",2018-02-07,east
"$1,635.00 ",2018-02-07,west
"$1,602.00 ",2018-02-08,north
"$1,536.00 ",2018-02-08,south
"$1,503.00 ",2018-02-08,east
"$1,701.00 ",2018-02-08,west
"$1,758.00 ",2018-02-09,north
"$1,662.00 ",2018-02-09,south
"$1,782.00 ",2018-02-09,east
"$1,515.00 ",2018-02-09,west
"$1,662.00 ",2018-02-10,north
"$1,557.00 ",2018-02-10,south
"$1,650.00 ",2018-02-10,east
"$1,674.00 ",2018-02-10,west
"$1,554.00 ",2018-02-11,north
"$1,587.00 ",2018-02-11,south
"$1,563.00 ",2018-02-11,east
"$1,764.00 ",2018-02-11,west
"$1,758.00 ",2018-02-12,north
"$1,608.00 ",2018-02-12,south
"$1,569.00 ",2018-02-12,east
"$1,653.00 ",2018-02-12,west
"$1,572.00 ",2018-02-13,north
"$1,716.00 ",2018-02-13,south
"$1,773.00 ",2018-02-13,east
"$1,725.00 ",2018-02-13,west
"$1,767.00 ",2018-02-14,north
"$1,710.00 ",2018-02-14,south
"$1,698.00 ",2018-02-14,east
"$1,512.00 ",2018-02-14,west
"$1,746.00 ",2018-02-15,north
"$1,734.00 ",2018-02-15,south
"$1,524.00 ",2018-02-15,east
"$1,614.00 ",2018-02-15,west
"$1,578.00 ",2018-02-16,north
"$1,782.00 ",2018-02-16,south
"$1,527.00 ",2018-02-16,east
"$1,752.00 ",2018-02-16,west
"$1,785.00 ",2018-02-17,north
"$1,689.00 ",2018-02-17,south
"$1,641.00 ",2018-02-17,east
"$1,575.00 ",2018-02-17,west
"$1,644.00 ",2018-02-18,north
"$1,674.00 ",2018-02-18,south
"$1,551.00 ",2018-02-18,east
"$1,737.00 ",2018-02-18,west
"$1,563.00 ",2018-02-19,north
"$1,647.00 ",2018-02-19,south
"$1,605.00 ",2018-02-19,east
"$1,539.00 ",2018-02-19,west
"$1,698.00 ",2018-02-20,north
"$1,575.00 ",2018-02-20,south
"$1,500.00 ",2018-02-20,east
"$1,551.00 ",2018-02-20,west
"$1,737.00 ",2018-02-21,north
"$1,542.00 ",2018-02-21,south
"$1,665.00 ",2018-02-21,east
"$1,548.00 ",2018-02-21,west
"$1,635.00 ",2018-02-22,north
"$1,632.00 ",2018-02-22,south
"$1,668.00 ",2018-02-22,east
"$1,764.00 ",2018-02-22,west
"$1,533.00 ",2018-02-23,north
"$1,563.00 ",2018-02-23,south
"$1,641.00 ",2018-02-23,east
"$1,773.00 ",2018-02-23,west
"$1,629.00 ",2018-02-24,north
"$1,698.00 ",2018-02-24,south
"$1,725.00 ",2018-02-24,east
"$1,722.00 ",2018-02-24,west
"$1,596.00 ",2018-02-25,north
"$1,710.00 ",2018-02-25,south
"$1,635.00 ",2018-02-25,east
"$1,659.00 ",2018-02-25,west
"$1,686.00 ",2018-02-26,north
"$1,533.00 ",2018-02-26,south
"$1,524.00 ",2018-02-26,east
"$1,530.00 ",2018-02-26,west
"$1,665.00 ",2018-02-27,north
"$1,695.00 ",2018-02-27,south
"$1,578.00 ",2018-02-27,east
"$1,620.00 ",2018-02-27,west
"$1,767.00 ",2018-02-28,north
"$1,593.00 ",2018-02-28,south
"$1,743.00 ",2018-02-28,east
"$1,557.00 ",2018-02-28,west
"$1,668.00 ",2018-03-01,north
"$1,782.00 ",2018-03-01,south
"$1,527.00 ",2018-03-01,east
"$1,668.00 ",2018-03-01,west
"$1,635.00 ",2018-03-02,north
"$1,569.00 ",2018-03-02,south
"$1,746.00 ",2018-03-02,east
"$1,773.00 ",2018-03-02,west
"$1,539.00 ",2018-03-03,north
"$1,500.00 ",2018-03-03,south
"$1,569.00 ",2018-03-03,east
"$1,557.00 ",2018-03-03,west
"$1,773.00 ",2018-03-04,north
"$1,644.00 ",2018-03-04,south
"$1,614.00 ",2018-03-04,east
"$1,674.00 ",2018-03-04,west
"$1,533.00 ",2018-03-05,north
"$1,653.00 ",2018-03-05,south
"$1,557.00 ",2018-03-05,east
"$1,746.00 ",2018-03-05,west
"$1,719.00 ",2018-03-06,north
"$1,719.00 ",2018-03-06,south
"$1,659.00 ",2018-03-06,east
"$1,800.00 ",2018-03-06,west
"$1,581.00 ",2018-03-07,north
"$1,602.00 ",2018-03-07,south
"$1,608.00 ",2018-03-07,east
"$1,650.00 ",2018-03-07,west
"$1,611.00 ",2018-03-08,north
"$1,530.00 ",2018-03-08,south
"$1,698.00 ",2018-03-08,east
"$1,668.00 ",2018-03-08,west
"$1,746.00 ",2018-03-09,north
"$1,524.00 ",2018-03-09,south
"$1,506.00 ",2018-03-09,east
"$1,704.00 ",2018-03-09,west
"$1,788.00 ",2018-03-10,north
"$1,719.00 ",2018-03-10,south
"$1,746.00 ",2018-03-10,east
"$1,584.00 ",2018-03-10,west
"$1,692.00 ",2018-03-11,north
"$1,635.00 ",2018-03-11,south
"$1,608.00 ",2018-03-11,east
"$1,590.00 ",2018-03-11,west
"$1,599.00 ",2018-03-12,north
"$1,518.00 ",2018-03-12,south
"$1,602.00 ",2018-03-12,east
"$1,659.00 ",2018-03-12,west
"$1,644.00 ",2018-03-13,north
"$1,611.00 ",2018-03-13,south
"$1,554.00 ",2018-03-13,east
"$1,515.00 ",2018-03-13,west
"$1,515.00 ",2018-03-14,north
"$1,632.00 ",2018-03-14,south
"$1,512.00 ",2018-03-14,east
"$1,776.00 ",2018-03-14,west
"$1,677.00 ",2018-03-15,north
"$1,503.00 ",2018-03-15,south
"$1,605.00 ",2018-03-15,east
"$1,647.00 ",2018-03-15,west
"$1,506.00 ",2018-03-16,north
"$1,737.00 ",2018-03-16,south
"$1,590.00 ",2018-03-16,east
"$1,767.00 ",2018-03-16,west
"$1,593.00 ",2018-03-17,north
"$1,614.00 ",2018-03-17,south
"$1,710.00 ",2018-03-17,east
"$1,662.00 ",2018-03-17,west
"$1,650.00 ",2018-03-18,north
"$1,755.00 ",2018-03-18,south
"$1,698.00 ",2018-03-18,east
"$1,659.00 ",2018-03-18,west
"$1,683.00 ",2018-03-19,north
"$1,509.00 ",2018-03-19,south
"$1,500.00 ",2018-03-19,east
"$1,545.00 ",2018-03-19,west
"$1,647.00 ",2018-03-20,north
"$1,614.00 ",2018-03-20,south
"$1,629.00 ",2018-03-20,east
"$1,677.00 ",2018-03-20,west
"$1,743.00 ",2018-03-21,north
"$1,569.00 ",2018-03-21,south
"$1,593.00 ",2018-03-21,east
"$1,578.00 ",2018-03-21,west
"$1,578.00 ",2018-03-22,north
"$1,581.00 ",2018-03-22,south
"$1,653.00 ",2018-03-22,east
"$1,578.00 ",2018-03-22,west
"$1,761.00 ",2018-03-23,north
"$1,611.00 ",2018-03-23,south
"$1,749.00 ",2018-03-23,east
"$1,764.00 ",2018-03-23,west
"$1,716.00 ",2018-03-24,north
