sales,date,region
" $1,578.00 ",10/13/2020,north
" $1,638.00 ",10/13/2020,south
" $1,515.00 ",10/13/2020,east
" $1,683.00 ",10/13/2020,west
" $1,680.00 ",10/14/2020,north
" $1,755.00 ",10/14/2020,south
" $1,584.00 ",10/14/2020,east
" $1,590.00 ",10/14/2020,west
" $1,518.00 ",10/15/2020,north
" $1,701.00 ",10/15/2020,south
" $1,716.00 ",10/15/2020,east
" $1,563.00 ",10/15/2020,west
" $1,638.00 ",10/16/2020,north
" $1,689.00 ",10/16/2020,south
" $1,515.00 ",10/16/2020,east
" $1,632.00 ",10/16/2020,west
" $1,509.00 ",10/17/2020,north
" $1,791.00 ",10/17/2020,south
" $1,509.00 ",10/17/2020,east
" $1,776.00 ",10/17/2020,west
" $1,524.00 ",10/18/2020,north
" $1,716.00 ",10/18/2020,south
" $1,578.00 ",10/18/2020,east
" $1,713.00 ",10/18/2020,west
" $1,656.00 ",10/19/2020,north
" $1,725.00 ",10/19/2020,south
" $1,554.00 ",10/19/2020,east
" $1,524.00 ",10/19/2020,west
" $1,569.00 ",10/20/2020,north
" $1,758.00 ",10/20/2020,south
" $1,758.00 ",10/20/2020,east
" $1,614.00 ",10/20/2020,west
" $1,740.00 ",10/21/2020,north
" $1,521.00 ",10/21/2020,south
" $1,722.00 ",10/21/2020,east
" $1,605.00 ",10/21/2020,west
" $1,749.00 ",10/22/2020,north
" $1,638.00 ",10/22/2020,south
" $1,710.00 ",10/22/2020,east
" $1,668.00 ",10/22/2020,west
" $1,635.00 ",10/23/2020,north
" $1,533.00 ",10/23/2020,south
" $1,635.00 ",10/23/2020,east
" $1,575.00 ",10/23/2020,west
" $1,737.00 ",10/24/2020,north
" $1,593.00 ",10/24/2020,south
" $1,707.00 ",10/24/2020,east
" $1,536.00 ",10/24/2020,west
" $1,689.00 ",10/25/2020,north
" $1,680.00 ",10/25/2020,south
" $1,605.00 ",10/25/2020,east
" $1,617.00 ",10/25/2020,west
" $1,746.00 ",10/26/2020,north
" $1,518.00 ",10/26/2020,south
" $1,656.00 ",10/26/2020,east
" $1,542.00 ",10/26/2020,west
" $1,581.00 ",10/27/2020,north
" $1,716.00 ",10/27/2020,south
" $1,683.00 ",10/27/2020,east
" $1,518.00 ",10/27/2020,west
" $1,746.00 ",10/28/2020,north
" $1,587.00 ",10/28/2020,south
" $1,644.00 ",10/28/2020,east
